№;Ссылка на товар;;;;;;;;;;;;;Минимум цена2;;;
41;https://kaspi.kz/shop/p/almacom-acf-60hm-belyi-4200947/?c=750000000;1034430;961242,7;795 800;113787,3;120 843;4000;15;938084;783 863;132 780;16,9;778500;917789;149820,2;19,2447270391779;766822,5
42;https://kaspi.kz/shop/p/almacom-acf-60hm-belyi-4200227/?c=750000000;1033763;961242,7;795 800;113713,93;120 249;4000;15;938084;783 863;132 186;16,9;778500;917789;149226,57;19,1684739884393;766822,5
43;https://kaspi.kz/shop/p/almacom-acc-48ha-seryi-104061141/?c=750000000;878250;817453,9;676 200;96607,5;101 443;4000;15;797776;666 057;111 586;16,8;661 500;780531;126 065;19;651 578
44;https://kaspi.kz/shop/p/almacom-acf-48ha-103961655/?c=750000000;901818;839575,3;694 600;99199,98;104 018;4000;15;819362;684 181;114 437;16,7;679500;801647;129310,52;19,0302457689478;669307,5
45;https://kaspi.kz/shop/p/otex-owm-24rp-belyi-montazhnyi-komplekt-4200255/?c=750000000;379529;354011,7;290 720;41748,19;43 061;4000;15;345551;286 359;47 422;16,6;284400;338137;53646,81;18,8631540084388;280134
46;https://kaspi.kz/shop/p/almacom-acf-36ha-belyi-4200237/?c=750000000;711010;663157,5;547 860;78211,1;80 939;4000;15;647214;539 642;89 157;16,5;535950;633242;100888,15;18,824172030973;527910,75
47;https://kaspi.kz/shop/p/almacom-acf-60ha-belyi-4200231/?c=750000000;1025948;956818,4;792 120;112854,28;116 974;4000;15;933767;780 238;128 856;16,5;774900;913565;145817,22;18,8175532326752;763276,5
48;https://kaspi.kz/shop/p/almacom-acc-60hm-belyi-4200480/?c=750000000;1069020;997189,9;825 700;117592,2;121 728;4000;15;973161;813 315;134 113;16,5;807750;952103;151794,05;18,7922067471371;795633,75
49;https://kaspi.kz/shop/p/almacom-acc-48hm-belyi-4200479/?c=750000000;988900;922530,3;763 600;108779;112 521;4000;15;900309;752 146;123 975;16,5;803250;946824;84919,75;10,5720199190787;791201,25
50;https://kaspi.kz/shop/p/almacom-acf-18hm-belyi-101012381/?c=750000000;388600;363966,3;299 000;42746;42 854;4000;14;355265;294 515;47 339;16,1;292500;347640;53741,5;18,3731623931624;288112,5
51;https://kaspi.kz/shop/p/almacom-acf-24ha-belyi-4200235/?c=750000000;524798;493929,2;407 100;57727,78;55 970;4000;14;482082;400 994;62 077;15,5;398250;471700;70793,97;17,776263653484;392276,25
52;https://kaspi.kz/shop/p/almacom-acc-24hm-belyi-4200630/?c=750000000;526950;496694,4;409 400;57964,5;55 586;4000;14;484780;403 259;61 727;15,3;400500;474339;70493;17,6012484394507;394492,5
53;https://kaspi.kz/shop/p/almacom-acp-80n-belyi-4200898/?c=750000000;1989550;1885362,0;1 564 460;218850,5;202 240;4000;13;1839834;1 540 993;225 706;14,6;1 530 450;1799936;259 206;17;1 507 493
54;https://kaspi.kz/shop/p/almacom-acf-18hm-belyi-4200233/?c=750000000;383849;363966,3;299 000;42223,39;38 626;4000;13;355265;294 515;43 111;14,6;292500;347640;49513,11;16,927558974359;288112,5
55;https://kaspi.kz/shop/p/almacom-lux-chanel-ach-24lc-belyi-montazhnyi-komplekt-4200692/?c=750000000;462930;440268,4;362 466;50922,3;45 542;4000;13;429720;357 029;50 978;14,3;354587;420477;58739,505;16,5656115424423;349268,195
56;https://kaspi.kz/shop/p/almacom-ach-18lc-belyi-100305653/?c=750000000;336290;321084,1;263 332;36991,9;31 967;4000;12;313421;259 382;35 916;13,8;257607;306705;41555,205;16,1312406106977;253742,895
57;https://kaspi.kz/shop/p/almacom-ach-18g-zolotistyi-4200703/?c=750000000;328020;313662,3;257 158;36082,2;30 779;4000;12;306179;253 301;34 637;13,7;251568;299620;40143,32;15,9572441645996;247794,48
58;https://kaspi.kz/shop/p/almacom-lux-chanel-ach-12lc-belyi-montazhnyi-komplekt-4200642/?c=750000000;227507;218656,7;178 135;25025,77;20 346;4000;11;213473;175 463;23 018;13,1;174263;208930;26832,175;15,3975169714742;171649,055
59;https://kaspi.kz/shop/p/almacom-lux-chanel-ach-12lc-belyi-4200972/?c=750000000;227500;218656,7;178 135;25025;20 340;4000;11;213473;175 463;23 012;13,1;174263;208930;26825,945;15,3939419153808;171649,055
60;https://kaspi.kz/shop/p/almacom-ach-18g-zolotistyi-montazhnyi-komplekt-4200441/?c=750000000;326200;313662,3;257 158;35882;29 160;4000;11;306179;253 301;33 017;13,0;251568;299620;38523,52;15,3133625898365;247794,48
61;https://kaspi.kz/shop/p/lg-ac-18bq-seryi-101852791/?c=750000000;510985;491404,5;405 000;56208,35;45 777;4000;11;479619;398 925;51 852;13,0;405000;479619;51851,65;12,8028765432099;398925
62;https://kaspi.kz/shop/p/lg-ac-18bq-r32-chernyi-101907447/?c=750000000;510985;491404,5;405 000;56208,35;45 777;4000;11;479619;398 925;51 852;13,0;405000;479619;51851,65;12,8028765432099;398925
63;https://kaspi.kz/shop/p/almacom-ach-12af-belyi-montazhnyi-komplekt-4200714/?c=750000000;210795;202922,9;165048;23187,45;18 560;4000;11;198120;162572,28;21035,27;12,9;162572;195215;23474,13;14,4392207760254;160133,42
64;https://kaspi.kz/shop/p/almacom-acp-60a-belyi-4200282/?c=750000000;1113189;1075167,6;890 560;122450,79;96 178;4000;11;1049251;877 202;109 537;12,5;871200;1026539;128606,21;14,7619616620753;858132
65;https://kaspi.kz/shop/p/almacom-acp-24ar-belyi-4200948/?c=750000000;1113185;1075167,6;890 560;122450,35;96 175;4000;11;1049251;877 202;109 533;12,5;890560;1049251;109533,05;12,2993453557312;877201,6
66;https://kaspi.kz/shop/p/almacom-acp-48a-belyi-montazhnyi-komplekt-4200174/?c=750000000;998390;965113,9;799 020;109822,9;85 547;4000;11;941862;787 035;97 532;12,4;781650;921484;114641,85;14,666647476492;769925,25
67;https://kaspi.kz/shop/p/almacom-acp-48a-belyi-mednaja-installjatsija-4201143/?c=750000000;996918;965113,9;799 020;109660,98;84 237;4000;11;941862;787 035;96 222;12,2;781650;921484;113331,77;14,4990430499584;769925,25
68;https://kaspi.kz/shop/p/almacom-acp-60ae-belyi-101516116/?c=750000000;1109918;1075167,6;890560;122090,98;93 267;4000;10;1049251;877201,6;106625,42;12,2;871200;1026539;125695,02;14,427803030303;858132
69;https://kaspi.kz/shop/p/almacom-asr-24lw-belyi-4200816/?c=750000000;626749;607301,1;501 400;68942,39;52 407;4000;10;592710;493 879;59 928;12,1;490500;579923;70664,11;14,4065463812436;483142,5
70;https://kaspi.kz/shop/p/almacom-acp-48a-belyi-4200691/?c=750000000;996 050;965113,9;799 020;109 566;83 465;4000;10;941862;787 035;95 450;12,1;781650;921484;112 559;14;769925,25
71;https://kaspi.kz/shop/p/almacom-acp-36a-belyi-montazhnyi-komplekt-4200696/?c=750000000;644790;624998,2;516 120;70926,9;53 743;4000;10;609979;508 378;61 485;12,1;504900;596816;72536,6;14,3665280253516;497326,5
72;https://kaspi.kz/shop/p/almacom-acp-36a-belyi-4200485/?c=750000000;644060;624998,2;516 120;70846,6;53 093;4000;10;609979;508 378;60 835;12,0;504900;596816;71886,9;14,2378490790255;497326,5
73;https://kaspi.kz/shop/p/almacom-asr-24lw-belyi-mednaja-installjatsija-4201141/?c=750000000;625581;607301,1;501 400;68813,91;51 367;4000;10;592710;493 879;58 888;11,9;490500;579923;69624,59;14,1946156982671;483142,5
74;https://kaspi.kz/shop/p/almacom-acp-36a-belyi-mednaja-installjatsija-4201142/?c=750000000;642438;624998,2;516 120;70668,18;51 650;4000;10;609979;508 378;59 392;11,7;504900;596816;70443,32;13,9519350366409;497326,5
75;https://kaspi.kz/shop/p/almacom-asn-24ar-belyi-montazhnyi-komplekt-4201022/?c=750000000;387489;377194,9;310 003;42623,79;30 862;4000;10;368173;305 353;35 512;11,6;303264;360267;42150,17;13,8988373166614;298715,04
76;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-24lc-seryi-101515951/?c=750000000;452289;440268,4;362466,2;49751,79;36 071;4000;10;429720;357029,207;41508,003;11,6;354587;420477;49269,015;13,8947606652246;349268,195
77;https://kaspi.kz/shop/p/almacom-acp-24lw-belyi-101516169/?c=750000000;623548;607301,1;501 400;68590,28;49 558;4000;10;592710;493 879;57 079;11,6;490500;579923;67815,22;13,8257329255861;483142,5
78;https://kaspi.kz/shop/p/almacom-acp-24ae-belyi-101516130/?c=750000000;502099;489504,9;403 420;55230,89;39 448;4000;10;477765;397 369;45 499;11,5;394650;467476;54137,86;13,7179424806791;388730,25
79;https://kaspi.kz/shop/p/almacom-lux-chanel-ach-18lc-belyi-montazhnyi-komplekt-4200643/?c=750000000;329058;321084,1;263 332;36196,38;25 530;4000;10;313421;259 382;29 480;11,4;257607;306705;35118,725;13,6326749661306;253742,895
80;https://kaspi.kz/shop/p/almacom-asn-24ar-belyi-4200807/?c=750000000;386500;377194,9;310 003;42515;29 982;4000;10;368173;305 353;34 632;11,3;303264;360267;41269,96;13,6085918539622;298715,04
81;https://kaspi.kz/shop/p/almacom-ach-24as-montazhnyi-komplekt-103920575/?c=750000000;402 199;392724,0;322920;44 242;31 037;4000;10;383327;318076,2;35 881;11,3;315900;375091;42 796;14;311161,5
82;https://kaspi.kz/shop/p/almacom-ach-18g-zolotistyi-montazhnyi-komplekt-101215208/?c=750000000;321039;313662,3;257 158;35314,29;24 566;4000;10;306179;253 301;28 424;11,2;251568;299620;33930,23;13,4874984099727;247794,48
83;https://kaspi.kz/shop/p/almacom-ach-24i-belyi-4200755/?c=750000000;441439;431436,4;355 120;48558,29;33 761;4000;10;421102;349 793;39 088;11,2;347400;412045;46691,71;13,4403310305124;342189
84;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-18lc-seryi-101515944/?c=750000000;328419;321084,1;263 332;36126,09;24 961;4000;9;313421;259 382;28 911;11,1;257607;306705;34550,015;13,4119084496927;253742,895
85;https://kaspi.kz/shop/p/almacom-asn-18ar-belyi-montazhnyi-komplekt-4200936/?c=750000000;281489;275259,7;225 216;30963,79;21 309;4000;9;268706;221 838;24 687;11,1;220320;262962;29510,01;13,394158496732;217015,2
86;https://kaspi.kz/shop/p/almacom-ach-24af-belyi-mednaja-installjatsija-101752425/?c=750000000;417359;408253,2;335 837;45909,49;31 613;4000;9;398480;330 799;36 650;11,1;328536;389915;43841,55;13,3445193220834;323607,96
87;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-18lc-chernyi-102593337/?c=750000000;328175;321084,1;263 332;36099,25;24 744;4000;9;313421;259 382;28 694;11,1;257607;306705;34332,855;13,3276094981891;253742,895
88;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-24id-belyi-montazh-installjatsii-101752775/?c=750000000;444218;434937,1;358 032;48863,98;33 322;4000;9;424518;352 661;38 693;11,0;347400;412045;49165,02;14,1522797927461;342189
89;https://kaspi.kz/shop/p/almacom-favorite-ach-24af-belyi-101515654/?c=750000000;416866;408253,2;335 837;45855,26;31 174;4000;9;398480;330 799;36 211;10,9;328536;389915;43402,78;13,2109662259235;323607,96
90;https://kaspi.kz/shop/p/almacom-ach-24lc-chernyi-100305547/?c=750000000;449321;440268,4;362 466;49425,31;33 429;4000;9;429720;357 029;38 866;10,9;354587;420477;46627,495;13,1498038563173;349268,195
91;https://kaspi.kz/shop/p/almacom-ach-18as-belyi-4201093/?c=750000000;292352;286541,6;234 600;32158,72;21 593;4000;9;279714;231 081;25 112;10,9;229500;273731;30135,78;13,1310588235294;226057,5
92;https://kaspi.kz/shop/p/almacom-regular-ach-24ar-belyi-101516008/?c=750000000;384715;377194,9;310 003;42318,65;28 393;4000;9;368173;305 353;33 043;10,8;303364;360385;39582,81;13,0479588876729;298813,54
93;https://kaspi.kz/shop/p/almacom-ach-18as-belyi-mednaja-installjatsija-4201139/?c=750000000;292139;286541,6;234 600;32135,29;21 404;4000;9;279714;231 081;24 923;10,8;229500;273731;29946,21;13,0484575163399;226057,5
94;https://kaspi.kz/shop/p/almacom-ach-18as-standart-belyi-mednaja-installjatsija-101752285/?c=750000000;292119;286541,6;234 600;32133,09;21 386;4000;9;279714;231 081;24 905;10,8;229500;273731;29928,41;13,0407015250545;226057,5
95;https://kaspi.kz/shop/p/almacom-asn-18ar-belyi-4200806/?c=750000000;280278;275259,7;225 216;30830,58;20 231;4000;9;268706;221 838;23 610;10,6;220320;262962;28432,22;12,9049655047204;217015,2
96;https://kaspi.kz/shop/p/almacom-ach-24i-belyi-montazhnyi-komplekt-4200756/?c=750000000;439239;431436,4;355 120;48316,29;31 803;4000;9;421102;349 793;37 130;10,6;347400;412045;44733,71;12,876715601612;342189
97;https://kaspi.kz/shop/p/almacom-ach-12id-belyi-mednaja-installjatsija-4201180/?c=750000000;269352;264879,2;216 582;29628,72;19 141;4000;9;258576;213 333;22 390;10,5;211874;253054;27027,39;12,7563504724506;208695,89
98;https://kaspi.kz/shop/p/almacom-ach-24as-belyi-mednaja-installjatsija-4201140/?c=750000000;399302;392724,0;322 920;43923,22;28 459;4000;9;383327;318 076;33 303;10,5;315900;375091;40217,28;12,7310161443495;311161,5
99;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-12lc-seryi-101515939/?c=750000000;221928;218656,7;178135;24412,08;15 381;4000;9;213473;175462,975;18052,945;10,3;174263;208930;21866,865;12,5481972650534;171649,055
100;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-12lc-seryi-101515939/?c=750000000;221909;218656,7;178 135;24409,99;15 364;4000;9;213473;175 463;18 036;10,3;174263;208930;21849,955;12,5384935413714;171649,055
101;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-18lc-chernyi-mednaja-installjatsija-101745203/?c=750000000;325889;321084,1;263 332;35847,79;22 710;4000;9;313421;259 382;26 660;10,3;257607;306705;32298,315;12,5378250591017;253742,895
102;https://kaspi.kz/shop/p/almacom-ach-18id-belyi-4201184/?c=750000000;346287;341264,3;280 117;38091,57;24 078;4000;9;333113;275 915;28 280;10,2;274028;325969;34277,85;12,5088859532603;269917,58
103;https://kaspi.kz/shop/p/almacom-ach-18g-2016-zolotistyi-4200974/?c=750000000;317890;313662,3;257 158;34967,9;21 764;4000;8;306179;253 301;25 621;10,1;251568;299620;31127,62;12,3734417731985;247794,48
104;https://kaspi.kz/shop/p/samsung-ac120jnmn4deh-af-belyi-101183988/?c=750000000;1216808;1201416,8;995 571;133848,88;83 388;4000;8;1172445;980 637;98 322;10,0;995571;1172445;98321,685;9,8759089005204;980637,435
105;https://kaspi.kz/shop/p/samsung-ac120jn4deh-af-belyi-101183970/?c=750000000;1216794;1201416,8;995 571;133847,34;83 376;4000;8;1172445;980 637;98 309;10,0;995571;1172445;98309,225;9,87465735743608;980637,435
106;https://kaspi.kz/shop/p/almacom-ach-18g-zolotistyi-mednaja-installjatsija-4201135/?c=750000000;317589;313662,3;257 158;34934,79;21 496;4000;8;306179;253 301;25 353;10,0;251568;299620;30859,73;12,2669536666031;247794,48
107;https://kaspi.kz/shop/p/almacom-ach-18af-belyi-mednaja-installjatsija-101752404/?c=750000000;301503;297823,5;243 984;33165,33;20 354;4000;8;290723;240 324;24 013;10,0;238680;284501;29237,87;12,2498198424669;235099,8
108;https://kaspi.kz/shop/p/almacom-ach-18g-2016-zolotistyi-montazhnyi-komplekt-4200867/?c=750000000;317519;313662,3;257 158;34927,09;21 434;4000;8;306179;253 301;25 291;10,0;251568;299620;30797,43;12,2421889906506;247794,48
109;https://kaspi.kz/shop/p/almacom-ach-18lc-chernyi-montazhnyi-komplekt-100354862/?c=750000000;325019;321084,1;263331,6;35752,09;21 935;4000;8;313421;259381,626;25885,284;10,0;257607;306705;31524,015;12,2372509287403;253742,895
110;https://kaspi.kz/shop/p/almacom-ach-18g-2017-zolotistyi-mednaja-installjatsija-4201235/?c=750000000;317399;313662,3;257 158;34913,89;21 327;4000;8;306179;253 301;25 184;9,9;251568;299620;30690,63;12,1997352604465;247794,48
111;https://kaspi.kz/shop/p/almacom-ach-18af-belyi-4200741/?c=750000000;301084;297823,5;243984;33119,24;19 981;4000;8;290723;240324,24;23640,52;9,8;238680;284501;28864,96;12,0935813641696;235099,8
112;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-12id-belyi-101515864/?c=750000000;267 479;264879,2;216581,8;29 423;17 475;4000;8;258576;213333,073;20 723;9,7;211874;253054;25 360;12;208695,89
113;https://kaspi.kz/shop/p/almacom-favorite-ach-18af-belyi-101515693/?c=750000000;300240;297823,5;243 984;33026,4;19 230;4000;8;290723;240 324;22 889;9,5;238680;284501;28113,8;11,7788671023965;235099,8
114;https://kaspi.kz/shop/p/almacom-standart-ach-18as-belyi-101516018/?c=750000000;288819;286541,6;234 600;31770,09;18 449;4000;8;279714;231 081;21 968;9,5;229500;273731;26991,41;11,760962962963;226057,5
115;https://kaspi.kz/shop/p/almacom-ach-18af-belyi-montazhnyi-komplekt-4200742/?c=750000000;299900;297823,5;243984;32989;18 927;4000;8;290723;240324,24;22586,76;9,4;238680;284501;27811,2;11,6520864756159;235099,8
116;https://kaspi.kz/shop/p/almacom-hd-6666w-100625723/?c=750000000;151024;150003,1;121 031;16612,64;9 381;4000;8;146481;119 215;11 196;9,4;118400;143395;13787,36;11,6447297297297;116624
117;https://kaspi.kz/shop/p/almacom-ach-07g-2016-zolotistyi-4200973/?c=750000000;168669;167567,4;135 640;18553,59;10 475;4000;8;163620;133 606;12 510;9,4;132692;160161;15413,79;11,6162165013716;130701,62
118;https://kaspi.kz/shop/p/almacom-ach-18lc-chernyi-100368441/?c=750000000;322978;321084,1;263 332;35527,58;20 119;4000;8;313421;259 382;24 069;9,3;257607;306705;29707,525;11,5321109286627;253742,895
119;https://kaspi.kz/shop/p/almacom-hd-6666g-100625711/?c=750000000;153498;152746,1;123 312;16884,78;9 301;4000;8;149158;121 463;11 151;9,2;120632;146013;13790,7;11,4320412494197;118822,52
120;https://kaspi.kz/shop/p/almacom-ach-07g-2016-zolotistyi-montazhnyi-komplekt-4200860/?c=750000000;168284;167567,4;135 640;18511,24;10 133;4000;7;163620;133 606;12 167;9,1;132692;160161;15071,14;11,3579869170711;130701,62
121;https://kaspi.kz/shop/p/almacom-ach-12hc-belyi-103928803/?c=750000000;214111;213640,7;173962,8;23552,21;12 596;4000;7;208578;171353,358;15205,432;8,9;170181;204142;18930,505;11,1237476569065;167628,285
122;https://kaspi.kz/shop/p/almacom-ach-09l-belyi-montazhnyi-komplekt-4200437/?c=750000000;176740;176465,7;143041,6;19441,4;10 257;4000;7;172303;140895,976;12402,624;8,8;132932;160443;22360,58;16,8210664098938;130938,02
123;https://kaspi.kz/shop/p/teplovaja-zavesa-almacom-ac-10j-102508856/?c=750000000;124048;123906,0;99 324;13645,28;7 079;4000;7;121016;97 834;8 569;8,8;97164;118482;10696,18;11,0083775884072;95706,54
124;https://kaspi.kz/shop/p/lg-up48wc-belyi-101188566/?c=750000000;1651000;1649413,8;1 368 204;181610;97 186;4000;7;1609598;1 347 681;117 709;8,7;1368204;1609598;117709,06;8,603180519864;1347680,94
125;https://kaspi.kz/shop/p/almacom-am-12l-belyi-4200757/?c=750000000;219415;219773,8;179 064;24135,65;12 215;4000;7;214563;176 378;14 901;8,4;175172;209997;18734,93;10,6951624688877;172544,42
126;https://kaspi.kz/shop/p/almacom-ach-24as-belyi-4201110/?c=750000000;391846;392724,0;322 920;43103,06;21 823;4000;7;383327;318 076;26 667;8,4;315900;375091;33581,44;10,6304020259576;311161,5
127;https://kaspi.kz/shop/p/almacom-standart-ach-24as-belyi-101516009/?c=750000000;391259;392724,0;322 920;43038,49;21 301;4000;7;383327;318 076;26 144;8,2;315900;375091;33059,01;10,4650237416904;311161,5
128;https://kaspi.kz/shop/p/almacom-ach-09hc-103928838/?c=750000000;185011;185751,2;150765;20351,21;9 895;4000;7;181364;148503,525;12156,265;8,2;147488;177519;15384,11;10,4307536884357;145275,68
129;https://kaspi.kz/shop/p/almacom-ach-12he-belyi-103928425/?c=750000000;205 211;206893,7;168350,8;22 573;10 287;4000;6;201994;165825,538;12 812;7,7;164691;197701;16 417;10;162220,635
130;https://kaspi.kz/shop/p/almacom-ach-09af-belyi-mednaja-installjatsija-101752340/?c=750000000;175019;176465,7;143041,6;19252,09;8 725;4000;6;172303;140895,976;10870,934;7,7;139932;168655;13933,89;9,95761512734757;137833,02
131;https://kaspi.kz/shop/p/almacom-favorite-ach-09af-belyi-101515663/?c=750000000;174867;176465,7;143041,6;19235,37;8 590;4000;6;172303;140895,976;10735,654;7,6;139932;168655;13798,61;9,86093959923391;137833,02
132;https://kaspi.kz/shop/p/almacom-ach-09af-belyi-mednaja-installjatsija-4200779/?c=750000000;174792;176466,2;143042;19227,12;8 523;4000;6;172304;140896,37;10668,51;7,6;139932;168655;13731,86;9,81323785838836;137833,02
133;https://kaspi.kz/shop/p/almacom-ach-24af-belyi-montazhnyi-komplekt-4200754/?c=750000000;404096;408253,2;335 837;44450,56;19 809;4000;6;398480;330 799;24 846;7,5;328536;389915;32037,48;9,75158886697348;323607,96
134;https://kaspi.kz/shop/p/almacom-ach-24af-belyi-4200753/?c=750000000;404094;408253,2;335 837;44450,34;19 807;4000;6;398480;330 799;24 844;7,5;328536;389915;32035,7;9,75104706942314;323607,96
135;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-12lc-chernyi-mednaja-installjatsija-101745070/?c=750000000;216440;218656,7;178 135;23808,4;10 497;4000;6;213473;175 463;13 169;7,5;174263;208930;16982,545;9,74535328784653;171649,055
136;https://kaspi.kz/shop/p/almacom-ach-12l-belyi-montazhnyi-komplekt-4200439/?c=750000000;200539;202922,9;165 048;22059,29;9 432;4000;6;198120;162 572;11 907;7,3;161460;193911;15441,61;9,56373714851976;159038,1
137;https://kaspi.kz/shop/p/almacom-ach-18as-belyi-montazhnyi-komplekt-101215645/?c=750000000;282988;286541,6;234 600;31128,68;13 259;4000;6;279714;231 081;16 778;7,3;229500;273731;21801,82;9,4997037037037;226057,5
